,Budget,Linear mean cost,Linear mean points,n linear,Non linear cost,Non linear points,Non linear n,Div mean cost,Div mean points,n div,Non div cost,Non div points,Non div n,Both mean cost,Both mean points,n both,Non both cost,Non both points,Non both n
0,500,"{0.8: 488.0, 0.85: 489.0, 0.9: 488.0}","{0.8: 962.0, 0.85: 964.0, 0.9: 943.0}","[32, 24, 14]","{0.8: 483.0, 0.85: 484.0, 0.9: 486.0}","{0.8: 889.0, 0.85: 910.0, 0.9: 933.0}","[18, 26, 36]","{4: 488.0, 3: 491.0, 2: nan}","{4: 973.0, 3: 998.0, 2: nan}","[21, 4, 0]","{4: 485.0, 3: 486.0, 2: 486.0}","{4: 909.0, 3: 931.0, 2: 936.0}","[29, 46, 50]","{'0.8, 2': 488.0, '0.85, 3': 491.0, '0.9, 4': nan}","{'0.8, 2': 973.0, '0.85, 3': 998.0, '0.9, 4': nan}","[21, 4, 0]","{'0.8, 2': 485.0, '0.85, 3': 486.0, '0.9, 4': 486.0}","{'0.8, 2': 909.0, '0.85, 3': 931.0, '0.9, 4': 936.0}","[29, 46, 50]"
1,550,"{0.8: 524.0, 0.85: 523.0, 0.9: 523.0}","{0.8: 1171.0, 0.85: 1160.0, 0.9: 1145.0}","[30, 24, 17]","{0.8: 530.0, 0.85: 530.0, 0.9: 528.0}","{0.8: 1134.0, 0.85: 1153.0, 0.9: 1162.0}","[20, 26, 33]","{4: 525.0, 3: 525.0, 2: 534.0}","{4: 1175.0, 3: 1163.0, 2: 1205.0}","[21, 8, 2]","{4: 527.0, 3: 527.0, 2: 526.0}","{4: 1143.0, 3: 1155.0, 2: 1154.0}","[29, 42, 48]","{'0.8, 2': 524.0, '0.85, 3': 525.0, '0.9, 4': 534.0}","{'0.8, 2': 1169.0, '0.85, 3': 1163.0, '0.9, 4': 1205.0}","[20, 8, 2]","{'0.8, 2': 528.0, '0.85, 3': 527.0, '0.9, 4': 526.0}","{'0.8, 2': 1148.0, '0.85, 3': 1155.0, '0.9, 4': 1154.0}","[30, 42, 48]"
2,600,"{0.8: 569.0, 0.85: 571.0, 0.9: 578.0}","{0.8: 1309.0, 0.85: 1322.0, 0.9: 1386.0}","[20, 14, 7]","{0.8: 574.0, 0.85: 572.0, 0.9: 571.0}","{0.8: 1334.0, 0.85: 1325.0, 0.9: 1314.0}","[30, 36, 43]","{4: 575.0, 3: 577.0, 2: 599.0}","{4: 1334.0, 3: 1386.0, 2: 1383.0}","[11, 7, 1]","{4: 571.0, 3: 571.0, 2: 571.0}","{4: 1321.0, 3: 1314.0, 2: 1323.0}","[39, 43, 49]","{'0.8, 2': 575.0, '0.85, 3': 577.0, '0.9, 4': 599.0}","{'0.8, 2': 1334.0, '0.85, 3': 1386.0, '0.9, 4': 1383.0}","[11, 7, 1]","{'0.8, 2': 571.0, '0.85, 3': 571.0, '0.9, 4': 571.0}","{'0.8, 2': 1321.0, '0.85, 3': 1314.0, '0.9, 4': 1323.0}","[39, 43, 49]"
3,650,"{0.8: 622.0, 0.85: 626.0, 0.9: 626.0}","{0.8: 1485.0, 0.85: 1508.0, 0.9: 1508.0}","[10, 5, 5]","{0.8: 621.0, 0.85: 621.0, 0.9: 621.0}","{0.8: 1460.0, 0.85: 1461.0, 0.9: 1461.0}","[40, 45, 45]","{4: 623.0, 3: 625.0, 2: nan}","{4: 1485.0, 3: 1540.0, 2: nan}","[10, 2, 0]","{4: 621.0, 3: 621.0, 2: 621.0}","{4: 1460.0, 3: 1462.0, 2: 1465.0}","[40, 48, 50]","{'0.8, 2': 621.0, '0.85, 3': 625.0, '0.9, 4': nan}","{'0.8, 2': 1483.0, '0.85, 3': 1540.0, '0.9, 4': nan}","[9, 2, 0]","{'0.8, 2': 621.0, '0.85, 3': 621.0, '0.9, 4': 621.0}","{'0.8, 2': 1461.0, '0.85, 3': 1462.0, '0.9, 4': 1465.0}","[41, 48, 50]"
4,700,"{0.8: 681.0, 0.85: 687.0, 0.9: 686.0}","{0.8: 1610.0, 0.85: 1621.0, 0.9: 1622.0}","[23, 13, 3]","{0.8: 671.0, 0.85: 672.0, 0.9: 675.0}","{0.8: 1603.0, 0.85: 1601.0, 0.9: 1605.0}","[27, 37, 47]","{4: 683.0, 3: 688.0, 2: nan}","{4: 1641.0, 3: 1647.0, 2: nan}","[18, 3, 0]","{4: 672.0, 3: 675.0, 2: 676.0}","{4: 1587.0, 3: 1604.0, 2: 1606.0}","[32, 47, 50]","{'0.8, 2': 683.0, '0.85, 3': 688.0, '0.9, 4': nan}","{'0.8, 2': 1636.0, '0.85, 3': 1647.0, '0.9, 4': nan}","[17, 3, 0]","{'0.8, 2': 672.0, '0.85, 3': 675.0, '0.9, 4': 676.0}","{'0.8, 2': 1591.0, '0.85, 3': 1604.0, '0.9, 4': 1606.0}","[33, 47, 50]"
5,750,"{0.8: 724.0, 0.85: 727.0, 0.9: 738.0}","{0.8: 1734.0, 0.85: 1723.0, 0.9: 1784.0}","[41, 32, 13]","{0.8: 725.0, 0.85: 719.0, 0.9: 719.0}","{0.8: 1759.0, 0.85: 1765.0, 0.9: 1722.0}","[9, 18, 37]","{4: 726.0, 3: 734.0, 2: 733.0}","{4: 1746.0, 3: 1788.0, 2: 1761.0}","[27, 8, 3]","{4: 722.0, 3: 722.0, 2: 724.0}","{4: 1729.0, 3: 1729.0, 2: 1737.0}","[23, 42, 47]","{'0.8, 2': 726.0, '0.85, 3': 734.0, '0.9, 4': 733.0}","{'0.8, 2': 1746.0, '0.85, 3': 1788.0, '0.9, 4': 1761.0}","[27, 8, 3]","{'0.8, 2': 722.0, '0.85, 3': 722.0, '0.9, 4': 724.0}","{'0.8, 2': 1729.0, '0.85, 3': 1729.0, '0.9, 4': 1737.0}","[23, 42, 47]"
6,800,"{0.8: 774.0, 0.85: 774.0, 0.9: 775.0}","{0.8: 1820.0, 0.85: 1819.0, 0.9: 1830.0}","[49, 47, 39]","{0.8: 755.0, 0.85: 767.0, 0.9: 768.0}","{0.8: 1787.0, 0.85: 1825.0, 0.9: 1782.0}","[1, 3, 11]","{4: 775.0, 3: 781.0, 2: 770.0}","{4: 1830.0, 3: 1844.0, 2: 1823.0}","[36, 14, 3]","{4: 769.0, 3: 770.0, 2: 774.0}","{4: 1791.0, 3: 1810.0, 2: 1819.0}","[14, 36, 47]","{'0.8, 2': 776.0, '0.85, 3': 781.0, '0.9, 4': 770.0}","{'0.8, 2': 1831.0, '0.85, 3': 1844.0, '0.9, 4': 1823.0}","[35, 14, 3]","{'0.8, 2': 768.0, '0.85, 3': 770.0, '0.9, 4': 774.0}","{'0.8, 2': 1790.0, '0.85, 3': 1810.0, '0.9, 4': 1819.0}","[15, 36, 47]"
7,850,"{0.8: 817.0, 0.85: 817.0, 0.9: 816.0}","{0.8: 1926.0, 0.85: 1926.0, 0.9: 1922.0}","[50, 50, 46]","{0.8: nan, 0.85: nan, 0.9: 822.0}","{0.8: nan, 0.85: nan, 0.9: 1962.0}","[0, 0, 4]","{4: 817.0, 3: 817.0, 2: 824.0}","{4: 1935.0, 3: 1919.0, 2: 1934.0}","[44, 21, 5]","{4: 816.0, 3: 817.0, 2: 816.0}","{4: 1858.0, 3: 1930.0, 2: 1925.0}","[6, 29, 45]","{'0.8, 2': 817.0, '0.85, 3': 817.0, '0.9, 4': 824.0}","{'0.8, 2': 1935.0, '0.85, 3': 1919.0, '0.9, 4': 1934.0}","[44, 21, 5]","{'0.8, 2': 816.0, '0.85, 3': 817.0, '0.9, 4': 816.0}","{'0.8, 2': 1858.0, '0.85, 3': 1930.0, '0.9, 4': 1925.0}","[6, 29, 45]"
8,900,"{0.8: 867.0, 0.85: 867.0, 0.9: 867.0}","{0.8: 2022.0, 0.85: 2021.0, 0.9: 2018.0}","[50, 49, 46]","{0.8: nan, 0.85: 868.0, 0.9: 868.0}","{0.8: nan, 0.85: 2070.0, 0.9: 2067.0}","[0, 1, 4]","{4: 868.0, 3: 867.0, 2: 868.0}","{4: 2024.0, 3: 2026.0, 2: 2043.0}","[41, 29, 6]","{4: 863.0, 3: 867.0, 2: 867.0}","{4: 2010.0, 3: 2016.0, 2: 2019.0}","[9, 21, 44]","{'0.8, 2': 868.0, '0.85, 3': 867.0, '0.9, 4': 868.0}","{'0.8, 2': 2024.0, '0.85, 3': 2026.0, '0.9, 4': 2043.0}","[41, 29, 6]","{'0.8, 2': 863.0, '0.85, 3': 867.0, '0.9, 4': 867.0}","{'0.8, 2': 2010.0, '0.85, 3': 2016.0, '0.9, 4': 2019.0}","[9, 21, 44]"
9,950,"{0.8: 912.0, 0.85: 912.0, 0.9: 911.0}","{0.8: 2078.0, 0.85: 2078.0, 0.9: 2077.0}","[50, 50, 49]","{0.8: nan, 0.85: nan, 0.9: 931.0}","{0.8: nan, 0.85: nan, 0.9: 2136.0}","[0, 0, 1]","{4: 911.0, 3: 911.0, 2: 916.0}","{4: 2079.0, 3: 2097.0, 2: 2105.0}","[47, 19, 3]","{4: 915.0, 3: 912.0, 2: 911.0}","{4: 2062.0, 3: 2066.0, 2: 2077.0}","[3, 31, 47]","{'0.8, 2': 911.0, '0.85, 3': 911.0, '0.9, 4': 916.0}","{'0.8, 2': 2079.0, '0.85, 3': 2097.0, '0.9, 4': 2105.0}","[47, 19, 3]","{'0.8, 2': 915.0, '0.85, 3': 912.0, '0.9, 4': 911.0}","{'0.8, 2': 2062.0, '0.85, 3': 2066.0, '0.9, 4': 2077.0}","[3, 31, 47]"
